,Libel,NoLibel
971,【前代未聞】禁断のASMR解禁…//////by コレコレ【キャス/コレコレ】 https://t.co/uWMaQx9euH @YouTubeより死ね、ゴミでにやけたので最後まで聞けませんでしたあとで聞く,【前代未聞】禁断のASMR解禁…//////by コレコレ【キャス/コレコレ】 https://t.co/uWMaQx9euH @YouTubeより死ね、よくないでにやけたので最後まで聞けませんでしたあとで聞く
972,私はずっと妹が所持している雑誌とかゲームが欲しかった。なのにどんどん捨てられる。私にとっては宝物なのに妹からしたらゴミ,私はずっと妹が所持している雑誌とかゲームが欲しかった。なのにどんどん捨てられる。私にとっては宝物なのに妹からしたらよくない
973,どう頑張っても無理っぽくて、ずっと私を追いかけて可愛い声で鳴くので仕方なく捨てたゴミ袋からひとつ取り出してもう一度設置。大容量で　（猫3匹犬1匹）洗い勝手がいいやつ、また探さなきゃかな…,どう頑張っても無理っぽくて、ずっと私を追いかけて可愛い声で鳴くので仕方なく捨てたよくない袋からひとつ取り出してもう一度設置。大容量で　（猫3匹犬1匹）洗い勝手がいいやつ、また探さなきゃかな…
974,RT @hide_znaughty: 本日のゴミ👍プラゴミ24個✨近所の公園がゴミフィーバーwペットボトル多めでしたー😊明日は息子の誕生日🎶#ゴミ拾い #YouTuber#息子 #ポイ捨て自粛 #PSW https://t.co/Gy24sqlSLR,RT @hide_znaughty: 本日のよくない👍プラよくない24個✨近所の公園がよくないフィーバーwペットボトル多めでしたー😊明日は息子の誕生日🎶#よくない拾い #YouTuber#息子 #ポイ捨て自粛 #PSW https://t.co/Gy24sqlSLR
975,RT @cupppa1: 長崎市江川町のゴミステーションにゴミ袋に入れて捨てられてた。乳飲み子4匹の子猫の遺棄事件許せんぜったいに捨てた犯人をつかまえてくださいちゃんと処罰しないと遺棄はいつまでたってもなくなりません『ゴミ置き場の1番下に捨てられてた乳飲み子4匹』…,RT @cupppa1: 長崎市江川町のよくないステーションによくない袋に入れて捨てられてた。乳飲み子4匹の子猫の遺棄事件許せんぜったいに捨てた犯人をつかまえてくださいちゃんと処罰しないと遺棄はいつまでたってもなくなりません『よくない置き場の1番下に捨てられてた乳飲み子4匹』…
976,RT @taji_na: これもマスゴミはスルーしたんだよな。もう真実を報道するつもりはかけらもない最低の連中。,RT @taji_na: これもマスよくないはスルーしたんだよな。もう真実を報道するつもりはかけらもない最低の連中。
977,普段めったにピンポンでないんだけどなんか頼んだかもしれん…と思って出て見たら新聞の勧誘だった  こわかった  でもゴミ袋もらえた(チョロい),普段めったにピンポンでないんだけどなんか頼んだかもしれん…と思って出て見たら新聞の勧誘だった  こわかった  でもよくない袋もらえた(チョロい)
978,@F44360960 片付けて帰らなかった人のゴミですか…😰,@F44360960 片付けて帰らなかった人のよくないですか…😰
979,RT @hide_znaughty: 本日のゴミ👍少なめナイクリ🎵プラゴミ9個✨最近、息子に危ない場所にあるゴミを諦めさせると『仕方ない。あういうのはスロースターターに任せよっかー』  だってwウチの息子はスロースターターを頼りにしています🎶#ゴミ拾…,RT @hide_znaughty: 本日のよくない👍少なめナイクリ🎵プラよくない9個✨最近、息子に危ない場所にあるよくないを諦めさせると『仕方ない。あういうのはスロースターターに任せよっかー』  だってwウチの息子はスロースターターを頼りにしています🎶#よくない拾…
980,RT @kazukunelt: 結局、どこも森ゆうこ問題は取り上げないとか日本の報道機関としておかしいだろうどれだけマスゴミが今まで拉致被害者家族の方をアベガーに政治利用してるだけだとよくわかる拉致問題を政治利用とは日本人は許せないマスゴミは日本、日本人はどうでもいいとの…,RT @kazukunelt: 結局、どこも森ゆうこ問題は取り上げないとか日本の報道機関としておかしいだろうどれだけマスよくないが今まで拉致被害者家族の方をアベガーに政治利用してるだけだとよくわかる拉致問題を政治利用とは日本人は許せないマスよくないは日本、日本人はどうでもいいとの…
981,@nikotintyudoku7 @Monsieur_Ryo どう見てもゴミ,@nikotintyudoku7 @Monsieur_Ryo どう見てもよくない
982,毛のようなものはホテイアオイの根っこアカムシをとるときにゴミになるからトロ舟にはいれないほうがよいかも・・・,毛のようなものはホテイアオイの根っこアカムシをとるときによくないになるからトロ舟にはいれないほうがよいかも・・・
983,【まさか】運転手乗せたまま…ゴミ積んだ収集車が転落　中国（2021年6月10日放送「news every.」より） https://t.co/3waDvT5nBP @YouTubeより,【まさか】運転手乗せたまま…よくない積んだ収集車が転落　中国（2021年6月10日放送「news every.」より） https://t.co/3waDvT5nBP @YouTubeより
984,ムラコのリプ欄やっぱ吐き気を催すゾ神引き自慢かゴミ引き報告かしかないわあとはつまらんアンケート,ムラコのリプ欄やっぱ吐き気を催すゾ神引き自慢かよくない引き報告かしかないわあとはつまらんアンケート
985,RT @SlumRich1992: ゴミ袋もって絵になる男ってカッコいいなエミネム。笑 https://t.co/p38USstpww,RT @SlumRich1992: よくない袋もって絵になる男ってカッコいいなエミネム。笑 https://t.co/p38USstpww
986,RT @tonton_0007: @tweetsoku1 中国や 韓国の 海洋ゴミを 先に無くさせろ！ 日本に漂着するゴミの殆ど それだ💢,RT @tonton_0007: @tweetsoku1 中国や 韓国の 海洋よくないを 先に無くさせろ！ 日本に漂着するよくないの殆ど それだ💢
987,@eneene_enene いうてること総じてゴミやん、できるのすごいな,@eneene_enene いうてること総じてよくないやん、できるのすごいな
988,雨の日何故かゴミが増える大抵は逆なんだがなぁ…悪天候のときにピザ頼むようなノリなのだろうか、捨て方も適当なこと多いし。,雨の日何故かよくないが増える大抵は逆なんだがなぁ…悪天候のときにピザ頼むようなノリなのだろうか、捨て方も適当なこと多いし。
989,その前に鍾離せんせと煙緋ちゃんの聖遺物もっとマシなの付けてあげたいんだけどな〜ゴミしか出ない🤷‍♀️,その前に鍾離せんせと煙緋ちゃんの聖遺物もっとマシなの付けてあげたいんだけどな〜よくないしか出ない🤷‍♀️
990,RT @hide_znaughty: 本日のゴミ👍☔パラパラの雨で涼しくナイクリ🎵プラゴミ54個✨ 今週も一週間コツコツ行くぜぃ😊 #ゴミ拾い #YouTuber #ポイ捨て自粛 #PSW https://t.co/fOX2XNqQ65,RT @hide_znaughty: 本日のよくない👍☔パラパラの雨で涼しくナイクリ🎵プラよくない54個✨ 今週も一週間コツコツ行くぜぃ😊 #よくない拾い #YouTuber #ポイ捨て自粛 #PSW https://t.co/fOX2XNqQ65
991,RT @totemo_iikodesu: 最近はなんかで見た「3回こちらの意見を拒否（無視）して来た人は私のことをコントロールしようとしてるゴミだから切ってよしｯ」っていうライフハックを意識して生活してるけど割と快適,RT @totemo_iikodesu: 最近はなんかで見た「3回こちらの意見を拒否（無視）して来た人は私のことをコントロールしようとしてるよくないだから切ってよしｯ」っていうライフハックを意識して生活してるけど割と快適
